epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4887.63,0.77235,0.39101,0.90507,0.93872,0.9124,0.94827,0.70007,0.81542,0.386,0.90263,0.000742815,0.000742815,0.000742815
58,4972.82,0.77163,0.39353,0.90615,0.91517,0.93059,0.94321,0.69706,0.82479,0.39468,0.9037,0.000726312,0.000726312,0.000726312
59,5063.31,0.75064,0.37969,0.89829,0.94003,0.90863,0.94138,0.70111,0.82768,0.38869,0.91134,0.000709809,0.000709809,0.000709809
60,5148.44,0.75216,0.3824,0.9032,0.93874,0.93108,0.95281,0.70269,0.81554,0.39252,0.89665,0.000693305,0.000693305,0.000693305
61,5233.74,0.75028,0.38077,0.89385,0.94334,0.91994,0.94499,0.70048,0.80147,0.38813,0.89204,0.000676802,0.000676802,0.000676802
62,5316.62,0.7583,0.385,0.89774,0.95072,0.91706,0.95445,0.69851,0.78785,0.3669,0.88672,0.000660299,0.000660299,0.000660299
63,5401.17,0.7456,0.37526,0.89565,0.92104,0.92959,0.94562,0.69836,0.81283,0.37363,0.90102,0.000643795,0.000643795,0.000643795
64,5484.46,0.75326,0.38512,0.89832,0.92682,0.94312,0.95679,0.7112,0.78601,0.37368,0.89059,0.000627292,0.000627292,0.000627292
65,5571.75,0.74664,0.37753,0.89839,0.9188,0.91815,0.95029,0.70616,0.80306,0.37611,0.89367,0.000610789,0.000610789,0.000610789
66,5658.7,0.72798,0.3674,0.89645,0.94008,0.93018,0.95365,0.70727,0.79519,0.36321,0.89514,0.000594286,0.000594286,0.000594286
67,5745.61,0.73757,0.37017,0.88853,0.9193,0.92677,0.94438,0.70746,0.81771,0.37517,0.90044,0.000577782,0.000577782,0.000577782
68,5832,0.73575,0.36481,0.89411,0.93203,0.92057,0.9481,0.71194,0.78569,0.37522,0.89065,0.000561279,0.000561279,0.000561279
69,5917.07,0.72128,0.36306,0.88915,0.93266,0.93052,0.94717,0.70425,0.80188,0.37015,0.88897,0.000544776,0.000544776,0.000544776
70,6002.96,0.73018,0.3654,0.89483,0.92884,0.92419,0.94359,0.71592,0.79417,0.36736,0.89271,0.000528272,0.000528272,0.000528272
71,6089.81,0.72877,0.36256,0.89239,0.94063,0.91644,0.94165,0.70095,0.80882,0.37323,0.89507,0.000511769,0.000511769,0.000511769
72,6174.4,0.72639,0.36263,0.88883,0.94508,0.91131,0.95365,0.70789,0.79186,0.37253,0.8891,0.000495266,0.000495266,0.000495266
73,6261.1,0.72347,0.35962,0.88728,0.94535,0.91054,0.94474,0.70241,0.80666,0.36233,0.89626,0.000478762,0.000478762,0.000478762
74,6347.28,0.73024,0.36177,0.88909,0.94814,0.89066,0.94603,0.70946,0.80244,0.36321,0.89868,0.000462259,0.000462259,0.000462259
75,6431.05,0.71287,0.35279,0.88408,0.95128,0.88509,0.94698,0.71068,0.79182,0.35863,0.89234,0.000445756,0.000445756,0.000445756
76,6514.68,0.70298,0.35021,0.88422,0.95068,0.89068,0.94598,0.7105,0.78839,0.35821,0.89464,0.000429253,0.000429253,0.000429253
77,6601.4,0.70756,0.34735,0.88574,0.95487,0.91487,0.95658,0.71059,0.7866,0.36325,0.89058,0.000412749,0.000412749,0.000412749
78,6687.79,0.70139,0.35024,0.88583,0.92599,0.91961,0.94364,0.71281,0.77747,0.35441,0.88644,0.000396246,0.000396246,0.000396246
79,6771.43,0.71995,0.3536,0.88962,0.92722,0.90758,0.94215,0.70793,0.78751,0.35478,0.89361,0.000379743,0.000379743,0.000379743
80,6857.95,0.70768,0.35342,0.88833,0.94611,0.93059,0.95539,0.70825,0.78282,0.35612,0.89346,0.000363239,0.000363239,0.000363239
81,6942.47,0.69814,0.33988,0.88097,0.92826,0.9165,0.947,0.70963,0.78733,0.35835,0.8887,0.000346736,0.000346736,0.000346736
82,7026.57,0.69905,0.34241,0.88099,0.9081,0.93931,0.94598,0.70413,0.80145,0.35804,0.89223,0.000330233,0.000330233,0.000330233
83,7113.14,0.68472,0.33503,0.87809,0.95225,0.92357,0.95583,0.71263,0.80119,0.35911,0.88974,0.000313729,0.000313729,0.000313729
84,7195.71,0.69083,0.33544,0.87791,0.9454,0.89595,0.94381,0.71491,0.78482,0.3513,0.89363,0.000297226,0.000297226,0.000297226
85,7280.94,0.68805,0.34024,0.88043,0.95419,0.92516,0.95774,0.7152,0.79102,0.35683,0.88901,0.000280723,0.000280723,0.000280723
86,7365.89,0.67821,0.33461,0.87533,0.94673,0.90526,0.94737,0.71328,0.79466,0.35871,0.88874,0.00026422,0.00026422,0.00026422
87,7451.45,0.68156,0.3374,0.87384,0.93989,0.92011,0.94547,0.71745,0.79296,0.35526,0.89547,0.000247716,0.000247716,0.000247716
88,7536.72,0.68304,0.33435,0.87828,0.949,0.91521,0.94487,0.71576,0.77682,0.34877,0.88456,0.000231213,0.000231213,0.000231213
89,7622.11,0.67479,0.33154,0.88056,0.95529,0.90855,0.94661,0.71411,0.77792,0.3505,0.88323,0.00021471,0.00021471,0.00021471
